"Town_Number","Reclamation_Coefficient","Slope_Grade","Isoperimetric_Ratio","Mulching_Area"
1,0,1,0.000129489919425,4316.9
1,0,1,0.000161957860643,112834.92
1,0.123333333333333,3.16666666666667,0.000148028135801,38206.19
1,0.154,3.6,0.000247673796741,115979.47
1,0.110714285714286,3.35714285714286,0.000206442781281,377029.13
1,0.130833333333333,3.58333333333333,0.000246964433095,377229.06
1,0.145833333333333,3.5,0.000213350583449,293372.95
1,0.13,3,0.000226727073354,60995.24
1,0.111785714285714,3.46428571428571,0.000189996689342,544790
1,0.12,4,0.000397065294596,175975.68
1,0.096666666666667,2.66666666666667,0.000148982115801,29399.52
1,0.125490196078431,3.64705882352941,0.000200681959721,1434367.26
1,0.146111111111111,3.72222222222222,0.000196832539348,1730213.4
1,0.113142857142857,3.32857142857143,0.000239553600352,2341701.68
1,0.174615384615385,4.30769230769231,0.00019790514762,554631.4
1,0.156666666666667,4,0.00027732159113,552357.84
1,0.146666666666667,4.33333333333333,0.000344107259163,472032
1,0.117142857142857,3.71428571428571,0.000270421172862,2230102.04
1,0.139285714285714,4.07142857142857,0.000432295996362,1342024.75
1,0.113333333333333,3.25,0.000530022380943,1892313.38
1,0.135555555555556,4,0.000491132019739,1513174.92
1,0.113529411764706,3.58823529411765,0.000283639160455,892705.01
1,0.108125,2.875,0.000412674793146,1264492.8
1,0.115,3.375,0.000470341252643,1409584.66
2,0.134545454545455,3.63636363636364,0.000276751113745,447834.26
2,0.113703703703704,3,0.000279552018109,1024938.34
2,0.157142857142857,3.85714285714286,0.000424234048844,620611.29
2,0.11375,3.29166666666667,0.000339426938081,1460319.07
2,0.14,3.92857142857143,0.000314003137752,1339093.03
2,0.107777777777778,3,0.000454269864173,946056.2
2,0.101818181818182,3.18181818181818,0.000486516064581,1032485.26
2,0.126136363636364,3.52272727272727,0.000355103175577,2957193.36
2,0.123428571428571,3.17142857142857,0.000421015141995,3333315.61
2,0.128333333333333,4,0.000746227679732,1588822.17
2,0.139130434782609,3.65217391304348,0.000377731109098,1733108.71
2,0.150952380952381,4,0.000385244495488,1810328.12
2,0.1303125,3.8125,0.000295956647139,1434653.65
2,0.159166666666667,4.08333333333333,0.000328416268056,1265527.73
2,0.126842105263158,3.78947368421053,0.000354144963313,2777542.65
2,0.131395348837209,3.74418604651163,0.000322295556816,2996379.15
2,0.122608695652174,3.82608695652174,0.000317621359109,2047854.26
2,0.135384615384615,4,0.00039721244509,1293300.8
2,0.141153846153846,4.07692307692308,0.000397793184752,2554491.03
2,0.15,3.85714285714286,0.000364485487933,3126422.75
2,0.138125,3.5625,0.000367863269998,1648349.17
2,0.116190476190476,3.57142857142857,0.000508356065689,3206610.61
2,0.135238095238095,3.90476190476191,0.000460646870682,3443319.17
2,0.143333333333333,3.95833333333333,0.000460337571312,3243605.71
2,0.130909090909091,3.75757575757576,0.00036635005118,3205864.88
2,0.141,3.75,0.000427101433381,2625698.25
2,0.140666666666667,3.66666666666667,0.000337034198867,1618546.94
2,0.12,4,0.000111312112718,17068.37
3,0.182857142857143,4.42857142857143,0.000201094201187,210881.65
3,0.1925,4.75,0.000241310020215,54188.08
3,0.164545454545455,3.90909090909091,0.000167139143122,211053.52
3,0.125714285714286,3.14285714285714,0.000206890822947,162820.78
3,0.125294117647059,3.47058823529412,0.000229119717687,412783.06
3,0.081176470588235,2.47058823529412,0.000228697209535,319524.54
3,0.117333333333333,3.46666666666667,0.000186797501661,275797.53
3,0.14,3.66666666666667,0.000251619014198,57285.41
3,0.114444444444444,3.66666666666667,0.000145665381202,55068.38
3,0.105,3.45,0.000184030595694,355972.15
3,0.06,2.5,0.000336026849645,148113.04
3,0.048,1.8,0.000192497186426,92954.15
3,0.121,3.7,0.000285219765107,495115.33
3,0.105227272727273,3.38636363636364,0.00017498930562,1009051.69
3,0.09925,3.5,0.000206576081123,1328486.88
3,0.130434782608696,3.91304347826087,0.000199168673528,487231.79
3,0.104102564102564,3.38461538461539,0.000118510339394,262980.31
3,0.117142857142857,3.64285714285714,0.000155955762551,301366.35
3,0.100408163265306,3.3469387755102,0.000137470251787,522599.63
3,0.130869565217391,4,0.000176044633602,683891.81
3,0.102857142857143,3.5,0.000182637671208,576752.91
3,0.144444444444444,4.16666666666667,0.000320136659834,1477268.73
3,0.12,4,0.000218046108998,12754.47
3,0.116,3.7,0.000427690740937,1288997.89
3,0.12,3.79166666666667,0.000348891285538,1588619.39
3,0.1252,3.8,0.000377546718421,2467820.44
3,0.098181818181818,3.27272727272727,0.000302038329915,836798.52
3,0.117073170731707,3.70731707317073,0.000280979457543,1843064.4
3,0.118125,3.75,0.000250490806019,1228990.05
3,0.125294117647059,3.64705882352941,0.000222439843627,1027504.12
4,0.104716981132075,3.09433962264151,0.000291479388234,2634244.73
4,0.096363636363636,2.68181818181818,0.000306238408626,1853099.04
4,0.125,3.29545454545454,0.000243969608758,1710314.12
4,0.119107142857143,3.23214285714286,0.000268843643222,2340353.24
4,0.130810810810811,3.60810810810811,0.000271623555916,2655156.4
4,0.1286,3.6,0.000268123791183,2063159.31
4,0.132857142857143,3.66666666666667,0.000422688293463,1760695.94
4,0.118974358974359,3.46153846153846,0.000429549010076,2771640.36
4,0.137,3.525,0.000408381864922,4236403
4,0.147,3.84,0.000368525356039,3577377.08
4,0.1295,3.55,0.000377981196163,1855314.17
4,0.11969696969697,3.12121212121212,0.000423017439674,2996113.14
4,0.048032786885246,2.08196721311475,0.000311317035574,2222876.72
4,0.040434782608696,2.52173913043478,0.000244467700475,355289.98
4,0.049375,1.875,0.000246785528623,425363.93
4,0.1415,3.55,0.000435826142202,2647062.94
4,0.140714285714286,3.42857142857143,0.000432901363642,1604172.05
4,0.106521739130435,2.91304347826087,0.000370573712917,2873455.37
4,0.110434782608696,3.21739130434783,0.000396662513883,1823775.32
4,0.107037037037037,3.37037037037037,0.000392987898982,2228202.16
4,0.113214285714286,3.46428571428571,0.000440585889741,2831167.92
4,0.138048780487805,3.73170731707317,0.000283224563823,2037074.97
5,0.135154639175258,3.72164948453608,0.000198467879885,3073132.2
5,0.141851851851852,3.81481481481481,0.000191998365825,429094.54
5,0.13448275862069,3.62068965517241,0.000231321724443,1632708.75
5,0.133125,3.625,0.000319360626216,2107776.11
5,0.14,4.11111111111111,0.000684986659043,3845355.88
5,0.152121212121212,4.21212121212121,0.000233421375567,1529586.81
5,0.149622641509434,3.90566037735849,0.000185922157655,1409977.26
5,0.155238095238095,4.02380952380952,0.000237816116703,1520569.39
5,0.142,3.9,0.000175367818653,177243.75
5,0.145909090909091,3.81818181818182,0.000269218485772,732689.69
5,0.1488,3.96,0.000198915246678,1096438.49
5,0.148333333333333,4,0.000229192851551,776284.73
5,0.128571428571429,3.64285714285714,0.000188275987958,783533.22
5,0.129375,3.5,0.00027457986853,619454.39
5,0.149285714285714,4,0.000312593505133,2351681.54
5,0.137142857142857,3.71428571428571,0.000445526225109,2394736
5,0.1475,3.95,0.000374872176007,1639373.25
5,0.144255319148936,3.74468085106383,0.000246375191836,1861152.89
5,0.1456,3.84,0.000408049962085,5934562.23
5,0.1516,4.08,0.000335997824452,2505078.24
5,0.157058823529412,4.05882352941176,0.000319610579568,1976124.64
5,0.155625,4.25,0.000361064078815,1816909.94
5,0.146,4.1,0.000307574365854,1806232.37
5,0.137,3.825,0.000273322364465,1655990.19
5,0.14037037037037,3.85185185185185,0.000374504065689,2420991.89
5,0.162857142857143,4,0.000287997312783,1115733.48
5,0.148064516129032,4.04838709677419,0.0002149137783,1711409.07
5,0.136842105263158,3.78947368421053,0.000293071825597,1212266.9
5,0.141739130434783,4,0.000286800840029,1895736.6
5,0.145,3.75,0.000278601408982,1586424.8
5,0.1605,3.9,0.000339680816829,1455885.18
5,0.151052631578947,4,0.000318419636158,2532455.02
5,0.155483870967742,3.83870967741935,0.000302344162458,1728762.84
5,0.159666666666667,4.03333333333333,0.000226359943337,1349483.27
5,0.143513513513513,3.81081081081081,0.000177505921667,1219129.95
6,0.141666666666667,3.66666666666667,0.000307481330558,515161.02
6,0.13,3.18181818181818,0.000286087924341,636834.65
6,0.113333333333333,3.33333333333333,0.00028910570966,734514.51
6,0.117333333333333,3.33333333333333,0.000356691523657,1301927.03
6,0.113333333333333,3.41666666666667,0.000542303094845,1473923.88
6,0.115,3.83333333333333,0.000479027083399,940976.75
6,0.141666666666667,3.83333333333333,0.000311406756824,1524492.29
6,0.145,3.59090909090909,0.000320940112372,2124805.75
6,0.154375,3.75,0.000234387814696,1979044
6,0.167333333333333,4,0.000281446514488,1629697.47
6,0.153870967741936,3.96774193548387,0.000216175861158,1979508.53
6,0.152857142857143,3.96428571428571,0.000243006132743,1233417.47
6,0.13,3.43478260869565,0.000323280727779,1350255.01
6,0.129428571428571,3.65714285714286,0.000289892490027,1461133.22
6,0.123793103448276,3.79310344827586,0.00026926270203,1085740.36
6,0.125,3.58333333333333,0.000308952728434,593486.67
6,0.14125,4,0.000268768302304,1100112.93
6,0.148666666666667,4.06666666666667,0.000209522937653,550453.56
6,0.127,3.9,0.000211918867754,275036.24
6,0.1225,3.875,0.000240609838933,254173.84
6,0.113913043478261,3.1304347826087,0.000245444080046,798145.77
7,0.087575757575758,2.60606060606061,0.000395322655555,2447183.44
7,0.055333333333333,2.23333333333333,0.000267153684535,1235334.02
7,0.106,3.37142857142857,0.000364012488858,3023815.87
7,0.154545454545455,4.04545454545455,0.000357421959467,1934106.85
7,0.144666666666667,3.86666666666667,0.000504818661804,2151934.81
7,0.105769230769231,2.84615384615385,0.000285526810227,1734210.45
7,0.126296296296296,3.40740740740741,0.000333402780347,1496905.73
7,0.138181818181818,4,0.000390760664766,1372202.46
7,0.089230769230769,2.7948717948718,0.000298452441168,1575927.2
7,0.132352941176471,3.76470588235294,0.00038157785653,1610273.14
7,0.143,4.1,0.000406491296682,2064409.48
7,0.138571428571429,3.92857142857143,0.000371660062585,1340099.71
7,0.131515151515152,3.63636363636364,0.000402722030376,2509233.44
7,0.130967741935484,3.64516129032258,0.000402285672372,2468661.46
7,0.105869565217391,3.21739130434783,0.000276462066627,2512647.15
7,0.077115384615385,2.40384615384615,0.000271709909225,1371105.61
7,0.10375,3.125,0.000422355462495,1936244
7,0.061,2.44,0.000290633598789,1566715.65
7,0.106896551724138,2.72413793103448,0.000352096865661,1560511.36
7,0.084827586206897,2.27586206896552,0.000275833671762,1772319.62
7,0.141333333333333,3.5,0.000464807450261,3311296.97
7,0.137142857142857,4,0.000378247244242,2573130.46
7,0.134285714285714,3.61904761904762,0.000387112701886,3972730.09
7,0.08,2.42857142857143,0.000401968010167,2443956.49
7,0.145,4,0.000741665150311,2148125.57
7,0.151333333333333,3.86666666666667,0.000429385532793,1465553.71
7,0.145,3.9375,0.00047737088821,3167064.66
7,0.118181818181818,3.63636363636364,0.000397369773886,1264320.47
7,0.142857142857143,3.85714285714286,0.000469050412537,782984.18
7,0.090967741935484,2.7741935483871,0.000299402175665,1367307.33
7,0.155833333333333,4.08333333333333,0.000404347018911,997959.2
7,0.168571428571429,4.42857142857143,0.000471887282343,717502.74
8,0.08377358490566,3.66037735849057,0.000333779375013,4945242.13
8,0.087222222222222,3.72222222222222,0.000474650668869,2758154.7
8,0.115714285714286,3.85714285714286,0.000532807551997,1667491.04
8,0.11,3.71428571428571,0.000464004375443,2309955.58
8,0.124411764705882,3.70588235294118,0.00032931908788,3586547.75
8,0.15,4.13333333333333,0.000546489903959,4713071.29
8,0.1408,3.8,0.000279531602947,2633341.67
8,0.120416666666667,3.875,0.000478902814234,4282892
8,0.103333333333333,3.44444444444445,0.000583200998456,2573092.94
8,0.123333333333333,3.77777777777778,0.000435808091885,2010469.9
8,0.113333333333333,3.66666666666667,0.000531203596141,2619811.54
8,0.1525,4.25,0.000619525689651,2214124.49
8,0.147906976744186,3.93023255813954,0.000366237028343,5236936.38
8,0.121333333333333,3.86666666666667,0.000291608400671,1363082.49
8,0.136666666666667,3.94444444444445,0.000548065482824,2948132.5
8,0.124705882352941,3.70588235294118,0.000530120907334,3735055.53
8,0.127368421052632,3.73684210526316,0.000473031109335,4744013.23
8,0.130909090909091,3.59090909090909,0.000507289544123,3279944.26
8,0.125,3.45,0.00047601496734,4806534.68
8,0.106470588235294,3.29411764705882,0.000419476630982,3088054.5
8,0.154166666666667,4.16666666666667,0.00054499403992,3245186.3
8,0.0825,4,0.00038868229855,1521636.63
8,0.120454545454545,3.72727272727273,0.000368934866691,2203563.36
8,0.130833333333333,3.83333333333333,0.000381636167827,1510000.6
8,0.134782608695652,3.73913043478261,0.000432086926269,2817346.16
8,0.139230769230769,4,0.000450825847531,2169983.79
8,0.1575,4,0.00040271773616,2842420.31
8,0.152,4.25,0.000429934577475,1936276.29
9,0.123333333333333,3.95238095238095,0.0002319829209,351938.72
9,0.158888888888889,4.22222222222222,0.000240999911428,374530.12
9,0.13875,4,0.000456514998273,708650.29
9,0.138181818181818,4,0.000262027631787,580308.88
9,0.1425,4.03571428571429,0.000214213035117,1129000.21
9,0.092682926829268,2.87804878048781,0.000205463954169,983747.11
9,0.1102,3.36,0.000208505134958,1228583.58
9,0.126585365853659,3.51219512195122,0.000222072056289,1541088.05
9,0.1255,3.725,0.000224362772608,1133103.95
9,0.141666666666667,3.9,0.000339552399192,2103844.83
9,0.124107142857143,3.66964285714286,0.000234896761645,3126887.8
9,0.123571428571429,3.71428571428571,0.000274835295387,2842898.52
9,0.143230769230769,3.96923076923077,0.000247250109179,2248930.39
9,0.13948275862069,4,0.000239517120178,1553559.25
9,0.147037037037037,4.14814814814815,0.000286009627199,1867822.63
9,0.154385964912281,4.2280701754386,0.000208781176739,1711978.05
9,0.136666666666667,3.85714285714286,0.000350535699462,2372817.04
